"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 02:19:37 CET 2024","Thu Jan 25 02:19:38 CET 2024","173","Command line suite","Command line test","GetUserByIdTest","GetUserByIdTest","testGetUserByIdUnsuccessfully","testGetUserByIdUnsuccessfully","Test of the UNSUCCESSFUL finding of an existing user"
"passed","Thu Jan 25 02:19:39 CET 2024","Thu Jan 25 02:19:40 CET 2024","521","Command line suite","Command line test","DeleteUserTest","DeleteUserTest","testDeleteUserUnsuccessfully","testDeleteUserUnsuccessfully","Test of the UNSUCCESSFUL delete of an existing user"
"passed","Thu Jan 25 02:19:38 CET 2024","Thu Jan 25 02:19:39 CET 2024","473","Command line suite","Command line test","CreateUserTest","CreateUserTest","testCreateUserUnsuccessfully","testCreateUserUnsuccessfully","Test of the UNSUCCESSFUL creation of a new user"
"passed","Thu Jan 25 02:19:37 CET 2024","Thu Jan 25 02:19:37 CET 2024","414","Command line suite","Command line test","UpdateUserTest","UpdateUserTest","testUpdateUserUnsuccessfully","testUpdateUserUnsuccessfully","Test of the UNSUCCESSFUL update of an existing user"
"passed","Thu Jan 25 02:19:38 CET 2024","Thu Jan 25 02:19:38 CET 2024","480","Command line suite","Command line test","CreateUserTest","CreateUserTest","testCreateUserSuccessfully","testCreateUserSuccessfully","Test of the SUCCESSFUL creation of a new user"
"failed","Thu Jan 25 00:56:33 CET 2024","Thu Jan 25 00:56:34 CET 2024","743","Default Suite","TaskTestJava11","DeleteUserTest","DeleteUserTest","testCreateUserSuccessfully","testCreateUserSuccessfully",""
"passed","Thu Jan 25 02:19:39 CET 2024","Thu Jan 25 02:19:39 CET 2024","571","Command line suite","Command line test","DeleteUserTest","DeleteUserTest","testDeleteUserSuccessfully","testDeleteUserSuccessfully","Test of the SUCCESSFUL delete of an existing user"
"passed","Thu Jan 25 00:56:34 CET 2024","Thu Jan 25 00:56:45 CET 2024","10882","Default Suite","TaskTestJava11","DeleteUserTest","DeleteUserTest","testCreateUserUnsuccessfully","testCreateUserUnsuccessfully",""
"passed","Thu Jan 25 02:19:36 CET 2024","Thu Jan 25 02:19:37 CET 2024","1159","Command line suite","Command line test","UpdateUserTest","UpdateUserTest","testUpdateUserSuccessfully","testUpdateUserSuccessfully","Test of the SUCCESSFUL update of an existing user"
"passed","Thu Jan 25 02:19:37 CET 2024","Thu Jan 25 02:19:37 CET 2024","247","Command line suite","Command line test","GetUserByIdTest","GetUserByIdTest","testGetUserByIdSuccessfully","testGetUserByIdSuccessfully","Test of the SUCCESSFUL finding of an existing user"
